,,,,,,
,image,asin,title,sale_price,rating,featured_image_source
https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_beauty_sccl_1/145-8622810-6445254?psc=1,,B00PBX3L7K,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skincare",14.5,4.6,https://m.media-amazon.com/images/I/314C4xFq5jL.jpg
https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_beauty_sccl_2/145-8622810-6445254?psc=1,,B074PVTPBW,"Mighty Patch™ Original patch from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",11.97,4.5,https://m.media-amazon.com/images/I/31g-CZLKRrL.jpg
https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=zg_bs_g_beauty_sccl_3/145-8622810-6445254?psc=1,,B00T0C9XRK,essence | Lash Princess False Lash Effect Mascara | Gluten & Cruelty Free,4.99,4.3,https://m.media-amazon.com/images/I/41IP2ZEXFNL.jpg
https://www.amazon.com/Mielle-Rosemary-Mint-Scalp-Strengthening/dp/B07N7PK9QK/ref=zg_bs_g_beauty_sccl_4/145-8622810-6445254?th=1,,B07N7PK9QK,"Mielle Organics Rosemary Mint Scalp & Hair Strengthening Oil With Biotin & Essential Oils, Nourishing Treatment for Split Ends and Dry Scalp for All Hair Types, 2-Fluid Ounces",9.97,4.6,https://m.media-amazon.com/images/I/61pQ8ZlA-8L.jpg
https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_beauty_sccl_5/145-8622810-6445254?psc=1,,B00U2VQZDS,"Neutrogena Cleansing Fragrance Free Makeup Remover Face Wipes, Cleansing Facial Towelettes for Waterproof Makeup, Alcohol-Free, Unscented, 100% Plant-Based Fibers, Twin Pack, 2 x 25 ct",10.27,4.8,https://m.media-amazon.com/images/I/41n7Cb8jk-L.jpg
https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_beauty_sccl_6/145-8622810-6445254?psc=1,,B081KL2QYJ,"PanOxyl Acne Foaming Wash Benzoyl Peroxide 10% Maximum Strength Antimicrobial, 5.5 Oz",9.77,4.6,https://m.media-amazon.com/images/I/4145mJCb9uL.jpg
https://www.amazon.com/Nizoral-Anti-Dandruff-Shampoo-Ketoconazole-Dandruff/dp/B00AINMFAC/ref=zg_bs_g_beauty_sccl_7/145-8622810-6445254?psc=1,,B00AINMFAC,"Nizoral Anti-Dandruff Shampoo with 1% Ketoconazole, Fresh Scent, 7 Fl Oz",13.75,4.6,https://m.media-amazon.com/images/I/41D7x04cFtL.jpg
https://www.amazon.com/Amazon-Basics-Cotton-Rounds-Count/dp/B09542G9ZN/ref=zg_bs_g_beauty_sccl_8/145-8622810-6445254?psc=1,,B09542G9ZN,"Amazon Basics Cotton Rounds, 100 Count (Previously Solimo)",2.49,4.7,https://m.media-amazon.com/images/I/21OFFYngspL.jpg
https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07TJG79HP/ref=zg_bs_g_beauty_sccl_9/145-8622810-6445254?psc=1,,B07TJG79HP,"MRS. MEYER'S CLEAN DAY Hand Soap, Made with Essential Oils, Biodegradable Formula, Rain Water, 12.5 fl. oz - Pack of 3",12.87,4.8,https://m.media-amazon.com/images/I/51YOG0S8HxL.jpg
https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_beauty_sccl_10/145-8622810-6445254?psc=1,,B00TTD9BRC,CeraVe Moisturizing Cream | Body and Face Moisturizer for Dry Skin | Body Cream with Hyaluronic Acid and Ceramides | Hydrating Moisturizer | Fragrance Free Non-Comedogenic | 19 Ounce,17.78,4.8,https://m.media-amazon.com/images/I/41V5hKBXqyL.jpg
https://www.amazon.com/Control-Pomade-Non-greasy-Styling-Samnyte/dp/B0914XZT2W/ref=zg_bs_g_beauty_sccl_11/145-8622810-6445254?psc=1,,B0914XZT2W,"Samnyte Hair Wax Stick, Wax Stick for Hair Slick Stick, Hair Wax Stick for Flyaways Hair Gel Stick Non-greasy Styling Cream for Fly Away & Edge Control Frizz Hair 2.7 Oz",7.99,4.3,https://m.media-amazon.com/images/I/417h8kM6cCL.jpg
https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_beauty_sccl_12/145-8622810-6445254?psc=1,,B07PBXXNCY,"Clean Skin Club Clean Towels XL, 100% USDA Biobased Dermatologist Approved Face Towel, Disposable Clinically Tested Face Towelette, Makeup Remover Dry Wipes, Ultra Soft, 50 Ct, 1 Pack",17.95,4.8,https://m.media-amazon.com/images/I/31+mC6e0xkL.jpg
