,,,,,,
,image,asin,title,sale_price,rating,featured_image_source
https://www.amazon.com/LEGO-Super-Mario-Character-Packs/dp/B0BBWHBT8Q/ref=sr_1_1?keywords=lego&qid=1697766954&sr=8-1,,B0BBWHBT8Q,"LEGO Super Mario Character Packs – Series 6 71413, Collectible Mystery Toy Figures for Kids, Combine with Starter Course Playset for Extra Play",3.99,4.6,https://m.media-amazon.com/images/I/71vd8u2BLcL.jpg
https://www.amazon.com/LEGO-Christmas-Countdown-Adventure-Collectible/dp/B0BXQ52N4L/ref=sr_1_2?keywords=lego&qid=1697766954&sr=8-2,,B0BXQ52N4L,"LEGO City 2023 Advent Calendar 60381 Christmas Holiday Countdown Playset, Gift Idea to Countdown to Adventure with Daily Collectible Surprises",31.49,4.9,https://m.media-amazon.com/images/I/91VNAID9qsL.jpg
https://www.amazon.com/LEGO-Dinosaurs-31058-Pterodactyl-Triceratops/dp/B01KJEOCDW/ref=sr_1_3?keywords=lego&qid=1697766954&sr=8-3,,B01KJEOCDW,"LEGO Creator 3in1 Mighty Dinosaurs 31058 Building Toy Set for Kids, Boys, and Girls Ages 7-12 (174 Pieces)",10.99,4.8,https://m.media-amazon.com/images/I/8153mG+qVgL.jpg
https://www.amazon.com/LEGO-Christmas-Characters-Experiences-Collectible/dp/B0BXQ55F99/ref=sr_1_4?keywords=lego&qid=1697766954&sr=8-4,,B0BXQ55F99,"LEGO Star Wars 2023 Advent Calendar 75366 Christmas Holiday Countdown Gift Idea with 9 Star Wars Characters and 15 Mini Building Toys, Discover New Experiences and Daily Collectible Surprises",40.49,4.8,https://m.media-amazon.com/images/I/81cFqny5IWL.jpg
https://www.amazon.com/LEGO-Creator-Figures-Building-Creative/dp/B0BLJ3LHCH/ref=sr_1_5?keywords=lego&qid=1697766954&sr=8-5,,B0BLJ3LHCH,"LEGO Creator 3 in 1 Exotic Parrot to Frog to Fish 31136 Animal Figures Building Toy, Creative Toys for Kids Ages 7 and Up",16,4.9,https://m.media-amazon.com/images/I/81i12VVBBcL.jpg
https://www.amazon.com/LEGO-Creator-Magical-Seahorse-Buildable/dp/B0BLJ4SVWV/ref=sr_1_6?keywords=lego&qid=1697766954&sr=8-6,,B0BLJ4SVWV,"LEGO Creator 3 in 1 Magical Unicorn Toy to Seahorse to Peacock 31140, Rainbow Animal Figures, Unicorn Gift for Grandchildren, Girls and Boys, Buildable Toys",8.99,4.8,https://m.media-amazon.com/images/I/717CBYoUL7L.jpg
https://www.amazon.com/LEGO-Mandalorians-Starfighter-Microfighter-Minifigures/dp/B0BSRFZHPQ/ref=sr_1_7_mod_primary_new?keywords=lego&qid=1697766954&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-7,,B0BSRFZHPQ,"LEGO Star Wars The Mandalorian’s N-1 Starfighter Microfighter 75363 Building Toy Set for Kids Aged 6 and Up with Mando and Grogu 'Baby Yoda' Minifigures, Fun Gift Idea for Action Play",11.99,4.8,https://m.media-amazon.com/images/I/71+WtU0Py6L.jpg
https://www.amazon.com/LEGO-Classic-Large-Creative-Brick/dp/B00NHQF6MG/ref=sr_1_8?keywords=lego&qid=1697766954&sr=8-8,,B00NHQF6MG,"LEGO Classic Large Creative Brick Box 10698 Building Toy Set for Back to School, Toy Storage Solution for Classrooms, Interactive Building Toy for Kids, Boys, and Girls",32.49,4.9,https://m.media-amazon.com/images/I/91SXHJRqWqL.jpg
https://www.amazon.com/LEGO-Classic-Medium-Creative-Brick/dp/B00NHQFA1I/ref=sr_1_9?keywords=lego&qid=1697766954&sr=8-9,,B00NHQFA1I,"LEGO Classic Medium Creative Brick Box 10696 Building Toy Set - Featuring Storage, Includes Train, Car, and a Tiger Figure, and Playset for Kids, Boys, and Girls Ages 4-99",24.99,4.8,https://m.media-amazon.com/images/I/91RaDysK8zL.jpg
https://www.amazon.com/LEGO-6384599-Green-Baseplate/dp/B09JKVKC47/ref=sr_1_10?keywords=lego&qid=1697766954&sr=8-10&th=1,,B09JKVKC47,"LEGO Classic Green Baseplate 11023 Building Toy Set for Preschool Kids, Boys, and Girls Ages 4+ (1 Pieces)",4.99,4.8,https://m.media-amazon.com/images/I/81iL2EyDi0L.jpg
